,RGDP,PGDP,Cons,GPDInv,Emp. Hours,Real Comp/Hour,FedFunds
1959Q2,0.10383041,0.00599164,0.06727264,0.32445325,0.07579105,0.03351353,0.030833333
1959Q3,-0.00303921,0.01137871,0.04474339,-0.29122469,-0.01176856,0.00623258,0.035766667
1959Q4,0.01405696,0.01595274,0.00566511,0.13177045,0.00058925,0.01448372,0.0399
1960Q1,0.08800229,0.00957947,0.03586396,0.41813555,0.02460542,0.07986522,0.039333333
1960Q2,-0.02001646,0.0175665,0.04900366,-0.43054909,0.00708592,-0.00050169,0.036966667
1960Q3,0.00626591,0.01862767,-0.01649279,-0.02468261,-0.02273233,0.02045528,0.029366667
1960Q4,-0.05214828,0.01759741,0.00455072,-0.52564579,-0.03734144,-0.00836964,0.022966667
1961Q1,0.02403169,0.00452873,-0.00033691,0.09805996,-0.02248051,0.0275412,0.020033333
1961Q2,0.07449121,0.00734827,0.05952789,0.28971428,-0.00935999,0.05739793,0.017333333
1961Q3,0.06430834,0.01052781,0.0193721,0.32299194,0.02345814,0.01405397,0.016833333
1961Q4,0.08093568,0.01031291,0.07964124,0.06760585,0.05048939,0.02268742,0.024
1962Q1,0.0712773,0.02278144,0.04251932,0.23124255,0.01465287,0.04882888,0.024566667
1962Q2,0.04344066,0.01041377,0.04824995,-0.03945034,0.04743113,0.01106915,0.026066667
1962Q3,0.03665778,0.01075718,0.03247437,0.06981625,-0.00835973,0.01621922,0.028466667
1962Q4,0.00975716,0.01386739,0.05659038,-0.13826234,-0.02557322,0.02781269,0.029233333
1963Q1,0.0521115,0.01124347,0.02669093,0.21723019,0.02428556,0.02580084,0.029666667
1963Q2,0.04962547,0.00404728,0.03825877,0.05733346,0.02522696,0.01330647,0.029633333
1963Q3,0.07460553,0.00734822,0.05400683,0.12923682,0.0107995,0.01635254,0.0333
1963Q4,0.03100843,0.02360645,0.03381609,0.05050545,0.03095838,0.0349332,0.034533333
1964Q1,0.08868171,0.01420637,0.07863784,0.15982202,0.07359804,-0.01916969,0.034633333
1964Q2,0.04618056,0.01306894,0.07023695,-0.01753673,0.01736975,0.03732783,0.0349
