,IND_PROD,EXPORT_D11,IMPORT_D11,EMPLOYED_D11,CONSTRUCTION_D11,CARGO_D11,RETAIL_D11,BUSINESS_CONF,REAL_DISPOSABLE_INCOME_SA,RETAIL_FOOD_D11,RETAIL_NONFOOD_D11,TOTAL_REVENUE_SE_D11,unemp_rate,EXPORT_SNG_D11,agriculture,HOUSING_D11,real_investment,IMPORT_SNG_D11,inflation,d_reer,d_poil,d_pgas,firms_exp,infl_exp
2002M01,4.294247395,4.106261056,4.302594214,4.013331117,4.422206145,3.99918626,4.058398794,4,4.1675943,4.056727908,4.058436833,4.054441774,7.599857559,4.158658204,5.25295011,4.363022717,4.797692207,4.224606979,3.099291299,-0.5,4.2,0.5,30.04,
2002M02,4.277403278,4.072642743,4.247577325,4.018527631,4.430851491,4.01397233,4.058244719,3.996155853,4.1694468,4.050872817,4.063470903,4.050769437,7.676340833,4.155408543,5.259293026,4.396300843,4.797766856,4.211082129,0.414030164,-0.783922912,4.428424305,0,30.13,
2002M03,4.274527501,4.180297814,4.270286093,4.014804481,4.438702359,4.017077797,4.060347586,3.993413927,4.1847943,4.051597327,4.063879697,4.043727163,7.831864707,4.22526649,5.263642326,4.62366553,4.809562955,4.174341627,0.873199922,-2.364895938,16.86390533,30.60344828,29.48,
2002M04,4.282259461,4.29735757,4.339814811,4.011794949,4.439065044,4.019749963,4.069638336,3.99413224,4.2227259,4.058819113,4.078538846,4.05867556,7.989481009,4.223837281,5.263139104,4.52933296,4.809791087,4.211577387,1.316439338,-1.963077782,8.565400844,13.20132013,29.44,
2002M05,4.281065207,4.248751091,4.292965786,4.008007322,4.448428291,4.02359526,4.06355969,3.997167961,4.2006166,4.053744749,4.07311012,4.064097534,7.886108163,4.237828536,5.262310428,4.551526007,4.808019026,4.180605427,1.739968674,-1.940879038,-1.476875243,2.040816327,29.13,
2002M06,4.288487924,4.187246139,4.326950235,4.012844123,4.470450844,4.025864257,4.087037595,4.00145852,4.2246883,4.065832599,4.103814538,4.071234557,7.852137336,4.207951858,5.261415439,4.617711725,4.81786898,4.18800894,0.846166262,-1.956692158,-5.009861933,-6.857142857,29.89,
2002M07,4.311353549,4.308454711,4.364354691,4.016825878,4.488513165,4.03785382,4.101466873,4.005319278,4.2482562,4.077745892,4.120746605,4.078931299,7.777448426,4.279336062,5.267249985,4.54806987,4.825212373,4.244322248,1.038504463,-3.095393615,6.893687708,-8.282208589,28.91,
2002M08,4.317298736,4.343380368,4.347085073,4.02164536,4.505514952,4.034369705,4.121522701,4.009443858,4.2649465,4.094736089,4.139173812,4.090129009,8.160972549,4.298091042,5.264651839,4.585943339,4.826231892,4.240959704,0.234518273,1.290248597,3.535353535,3.344481605,28.86,
2002M09,4.31235665,4.363910204,4.355086023,4.016385905,4.516581534,4.053883532,4.126054946,4.011688994,4.2583357,4.106971765,4.142665241,4.085476467,8.398555734,4.353471175,5.254596487,4.669286811,4.836088237,4.250712011,0.751802304,-0.492300074,6.566604128,14.88673139,28.43,
2002M10,4.325075801,4.37410997,4.416147757,4.013710911,4.530950226,4.059530075,4.13328944,4.012099511,4.2850998,4.111000015,4.151944878,4.08915078,8.709043001,4.417998518,5.26018415,4.613449681,4.84517408,4.2998008,1.103080868,0.356011693,-3.028169014,16.33802817,28.02,
