"Year","Qrt","gross.domestic.product","gross.private.domestic.investment","export","import","nominal.consumption","nominal.consumption.durables","nominal.private.investment","nominal.fixed.nonresidential.investment","nominal.fixed.residential.investment","nominal.change.in.private.inventories","deflator.gdp","deflator.pce","deflator.pce.goods","deflator.pce.goods.durable","deflator.pce.goods.nondurable","deflator.pce.services","deflator.investment","deflator.investment.fixed","deflator.investment.fixed.nonresidential","deflator.investment.fixed.nonresidential.structures","deflator.investment.fixed.nonresidential.equipment.and.software","deflator.investment.fixed.residential","deflator.export","deflator.export.goods","deflator.export.services","deflator.imports","deflator.imports.goods","deflator.imports.services","deflator.government","income.gross.domestic","income.employees.compensation","income.employees.compensation.wage.n.salary.accruals","income.employees.compensation.wage.n.salary.disbursments","income.employees.compensation.supplements","income.taxes.preduction.and.imports","income.subsidies.production.and.imports","income.net.surplus","income.private.enterprises","income.private.enterprises.interest.and.miscellaneous","income.private.enterprises.business.transfer.payments","income.private.enterprises.proprietors.income.gross","income.private.enterprises.rental.income.gross","income.private.corporate.profits.with.inventory.valuation.gross","income.private.taxes.corporate.income","income.private.after.tax.profit.with.inventory.valuation.gross","income.private.dividends","income.private.undistributed.profit.with.inventory.valuation.gross","income.government.enterprises.surplus","income.consumption.of.fixed.capital","income.consumption.of.fixed.capital.private","income.consumption.of.fixed.capital.government","income.statistical.discrepancy","price.per.value.added.nonfinancial","price.unit.labor.cost","price.nonlabor.unit.cost","price.nonlabor.unit.cost.consumption.fixed.capital","price.nonlabor.unit.cost.taxes.less.subsidies","price.nonlabor.unit.cost.net.interest.and.miscellaneous","price.profits.with.inventories.groos","price.profits.taxes","price.prifits.aftertax.with.inventories.gross","nominal.gross.domestic.product","nominal.gross.domestic.income","nominal.net.domestic.product","nominal.net.domestic.income","nominal.gross.national.product","nominal.gross.national.income","nominal.net.national.product","nominal.net.national.income","nominal.gross.domestic.purchases","nominal.final.sales.to.domestic.purchases","nominal.disposable.personal.income","nominal.government.gross.investment","nominal.government.consumption","nominal.excise.taxes","nominal.local.sale.taxes","nominal.other.local.taxes","nominal.gdp","nominal.net.investment.consumer.durables","nominal.depreciation.durables","nominal.gross.investment.durables","nominal.stock.durables","capacity.utilization","M2","fed.interest.rate","nominal.rate.10years","real.rate.10years","labor.force","employed","weekly.hours","participation.rate","labor.cost.index","w.change.prev.qrt.annual.rate","unit.labor.cost.index","SnP.volume","SnP.price","consumption.taxes","service.durables","Output","Investment.government","Investment.fixed.nonresidential","Investment.residential","Investment.inventories","Investment.durables","Investment","Government.consumption","Consumption","unemployed","unemployment","Labor","Population"
"1",1945,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.77,8.091,7.321,46.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1946,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1946,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1946,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1946,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.869,9.598,14.467,54.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1947,1,1770.7,188.7,85.2,51,156.3,20.7,33.7,22.8,10.4,0.5,0.13393,0.1382,0.23533,0.41363,0.17643,0.09016,0.1787,0.16841,0.21506,0.075,0.33691,0.0919,0.21577,0.24739,0.16218,0.14747,0.14448,0.15826,0.08905,236.4,127.2,119.7,119.7,7.5,17.7,0.3,NA,66.3,2.2,0.7,36.6,6.9,19.8,11.6,8.3,5.4,2.9,NA,25.6,14.6,11,0.8,0.194,0.129,0.033,0.013,0.019,0.001,0.031,0.019,0.012,237.2,236.4,211.6,210.8,238.1,237.3,212.5,211.8,226.3,225.8,168.3,4.3,32,NA,NA,NA,237.2,NA,NA,19.406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9556687978651,NA,NA,NA,NA,NA,48.2874789444133,106.01692550916,113.16648531012,2.79970326409496,NA,NA,359.348680516564,NA,NA,NA,NA,NA
"7",1947,2,1768,173.5,84.2,52,160.2,21.4,32.4,23.2,10.4,-1.2,0.13598,0.13931,0.2376,0.41747,0.17816,0.09065,0.1866,0.17503,0.22193,0.07596,0.35111,0.09703,0.23163,0.27075,0.15509,0.15785,0.15836,0.15725,0.08923,237.8,128.7,121.5,121.5,7.2,17.7,0.2,NA,65.4,2.4,0.7,32.3,7.1,23,10.9,12,5.6,6.4,NA,26.3,15.7,10.6,2.6,0.199,0.129,0.034,0.014,0.019,0.001,0.036,0.017,0.018,240.4,237.8,214.1,211.6,241.5,238.9,215.2,212.7,229.1,230.3,166.1,4.3,32.3,NA,NA,NA,240.4,NA,NA,19.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.9,17.8254901990806,NA,NA,NA,NA,NA,48.1900706040569,104.537466768801,107.183345357106,-6.42592592592593,NA,NA,361.985879188614,NA,NA,NA,NA,NA
"8",1947,3,1766.5,167.9,79.9,46.1,163.7,21.8,32.7,23.3,12.3,-2.9,0.1384,0.1419,0.24124,0.41979,0.18137,0.09282,0.19484,0.17949,0.22791,0.07861,0.35904,0.09923,0.24322,0.2876,0.15145,0.16627,0.16947,0.15716,0.08783,242.1,130.1,123.4,123.4,6.6,18,0.2,NA,67.1,2.5,0.7,33.8,7.3,22.9,10.8,12.1,5.9,6.2,NA,27.1,16.6,10.5,2.4,0.204,0.133,0.036,0.015,0.02,0.001,0.035,0.017,0.018,244.5,242.1,217.4,215,245.6,243.2,218.5,216.1,232.7,235.6,173.8,4.7,31.6,NA,NA,NA,244.5,NA,NA,20.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,18.8148049051296,NA,NA,NA,NA,NA,53.5124672663099,102.23333772103,123.954449259297,-14.8902140672783,NA,NA,359.785950130935,NA,NA,NA,NA,NA
"9",1947,4,1793.3,202.7,70.8,48.6,167.8,23.5,41,24.5,15.1,1.5,0.14182,0.14544,0.24759,0.42526,0.18686,0.09492,0.20239,0.18318,0.2319,0.08122,0.3623,0.1018,0.24893,0.29582,0.15021,0.17184,0.17676,0.15793,0.08883,251,134.3,127.8,127.8,6.5,19,0.1,NA,70.2,2.5,0.7,35.2,7.5,24.4,11.8,12.6,5.7,6.9,NA,27.6,17.4,10.3,3.3,0.209,0.136,0.036,0.015,0.02,0.001,0.037,0.018,0.019,254.3,251,226.7,223.4,255.6,252.3,227.9,224.6,245,243.6,176.1,5.1,31.1,NA,NA,NA,254.3,10.565,11.431,21.996,65.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.1,18.5278791303264,NA,NA,NA,33.0048440953769,NA,57.4130361364404,105.648986632169,148.330058939096,7.41585365853658,NA,NA,350.106945851627,NA,NA,NA,NA,NA
"10",1948,1,1821.8,224.7,67.6,54.8,170.5,23.5,45,26.2,15.2,3.6,0.14288,0.14705,0.25116,0.42854,0.18993,0.09546,0.20016,0.18516,0.23322,0.08335,0.36048,0.10376,0.25019,0.29717,0.15142,0.1757,0.18026,0.16269,0.09031,259.6,137.8,131.3,131.2,6.5,19,0.2,NA,75,2.4,0.7,36,7.6,28.2,12.1,16.1,6.2,9.8,NA,27.9,18,9.9,0.7,0.211,0.134,0.036,0.015,0.02,0.001,0.041,0.018,0.023,260.3,259.6,232.4,231.6,261.7,261,233.8,233,253,249.4,180.9,6.2,31.3,NA,NA,NA,260.3,7.451,14.646,22.097,75.26,NA,NA,NA,NA,NA,60223.1978021978,57971.1648351648,NA,58.6615384615385,NA,8.5,18.9215965618458,NA,NA,NA,41.2012880944603,NA,68.6524194441369,112.34027956436,146.491904394757,17.976,NA,NA,346.58398848411,NA,2252.03296703297,0.0373947755884658,NA,1026.62152036267
