,exog_cb,exof_cf,exog_ir,exog_sf,exog_oil,money,credit/money,credit
2/1/2001,0.005,1.13,4,0.001,95,7.3960534622,0.7043126969,7.0455206125
3/1/2001,0.005,1.13,4,0.001,95,7.4134012151,0.7050850626,7.0639643879
4/1/2001,0.005,1.13,4,0.001,95,7.4427882797,0.70919695,7.0991662742
5/1/2001,0.005,1.13,4,0.001,95,7.4648396446,0.7155664756,7.1301588681
6/1/2001,0.005,1.13,4,0.001,95,7.4866429224,0.7169804894,7.1539362722
7/1/2001,0.005,1.13,4,0.001,95,7.5190122229,0.7222322489,7.1936037054
8/1/2001,0.005,1.13,4,0.001,95,7.5454102727,0.7353566073,7.2380105552
9/1/2001,0.005,1.13,4,0.001,95,7.5753404083,0.7363395593,7.2692764994
10/1/2001,0.005,1.13,4,0.001,95,7.6140563761,0.7281059731,7.2967477021
11/1/2001,0.005,1.13,4,0.001,95,7.6222300164,0.7481147893,7.3320311653
12/1/2001,0.005,1.13,4,0.001,95,7.6345780168,0.7672339849,7.3696145577
1/1/2002,0.005,1.13,4,0.001,95,7.6510423214,0.7750388105,7.3962001486
2/1/2002,0.005,1.13,4,0.001,95,7.6603317481,0.786929347,7.4207149384
3/1/2002,0.005,1.13,4,0.001,95,7.6821502498,0.7964067535,7.454505023
4/1/2002,0.005,1.13,4,0.001,95,7.7126770379,0.7852470508,7.4709201415
5/1/2002,0.005,1.13,4,0.001,95,7.743104908,0.7715962651,7.4838110695
6/1/2002,0.005,1.13,4,0.001,95,7.7558961541,0.784549804,7.5132509303
7/1/2002,0.005,1.13,4,0.001,95,7.7837835065,0.7781633901,7.5329647426
8/1/2002,0.005,1.13,4,0.001,95,7.8112402789,0.7690852324,7.5486867987
9/1/2002,0.005,1.13,4,0.001,95,7.8321170391,0.7679454889,7.5680805128
10/1/2002,0.005,1.13,4,0.001,95,7.8649619546,0.7621711009,7.593377748
11/1/2002,0.005,1.13,4,0.001,95,7.8918127227,0.7628631272,7.6211360712
12/1/2002,0.005,1.13,4,0.001,95,7.9237100365,0.7482907704,7.6337463904
1/1/2003,0.005,1.13,4,0.001,95,7.9447103171,0.7681886344,7.6809903588
2/1/2003,0.005,1.13,4,0.001,95,7.9810443752,0.7545474613,7.6994072767
3/1/2003,0.005,1.13,4,0.001,95,8.0100454691,0.7506063176,7.7231714934
4/1/2003,0.005,1.13,4,0.001,95,8.0316522177,0.7560805703,7.7520448837
5/1/2003,0.005,1.13,4,0.001,95,8.0626965125,0.7663337451,7.7965590069
6/1/2003,0.005,1.13,4,0.001,95,8.0981022598,0.7591878675,7.8225962473
7/1/2003,0.005,1.13,4,0.001,95,8.1263514738,0.7632465335,7.8561772846
8/1/2003,0.005,1.13,4,0.001,95,8.1515900716,0.7712324978,7.8918246743
9/1/2003,0.005,1.13,4,0.001,95,8.1886080238,0.7758355874,7.9347933707
10/1/2003,0.005,1.13,4,0.001,95,8.1958973981,0.7969811707,7.9689731723
11/1/2003,0.005,1.13,4,0.001,95,8.2191377694,0.791432919,7.9852276145
12/1/2003,0.005,1.13,4,0.001,95,8.2463327438,0.7733381561,7.9892938772
1/1/2004,0.005,1.13,4,0.001,95,8.2876420206,0.7665825122,8.0218290822
2/1/2004,0.005,1.13,4,0.001,95,8.3142959682,0.7779063326,8.063146811
3/1/2004,0.005,1.13,4,0.001,95,8.3385383604,0.7830818881,8.0940203545
4/1/2004,0.005,1.13,4,0.001,95,8.3746922173,0.7848384557,8.1324148461
5/1/2004,0.005,1.13,4,0.001,95,8.3791484052,0.7926225848,8.1467403011
6/1/2004,0.005,1.13,4,0.001,95,8.399897148,0.7988910892,8.1753664966
7/1/2004,0.005,1.13,4,0.001,95,8.4152831923,0.8046175922,8.1978950371
8/1/2004,0.005,1.13,4,0.001,95,8.4283263247,0.8095103115,8.2170005568
9/1/2004,0.005,1.13,4,0.001,95,8.4433493849,0.8126735748,8.2359236278
10/1/2004,0.005,1.13,4,0.001,95,8.4805816672,0.7949774194,8.2511400992
11/1/2004,0.005,1.13,4,0.001,95,8.5104729197,0.7927539174,8.2782304957
12/1/2004,0.005,1.13,4,0.001,95,8.5358027656,0.8441563794,8.3663852477
1/1/2005,0.005,1.13,4,0.001,95,8.5595800428,0.8204261059,8.3616486104
2/1/2005,0.005,1.13,4,0.001,95,8.5832759557,0.811720746,8.3746770488
3/1/2005,0.005,1.13,4,0.001,95,8.6094326444,0.8072948871,8.3953663784
4/1/2005,0.005,1.13,4,0.001,95,8.6323147469,0.8111155172,8.4229699499
5/1/2005,0.005,1.13,4,0.001,95,8.6527874088,0.8191230147,8.4532664035
6/1/2005,0.005,1.13,4,0.001,95,8.6802823428,0.8209408837,8.4829781655
7/1/2005,0.005,1.13,4,0.001,95,8.7078919685,0.8190432088,8.5082735299
8/1/2005,0.005,1.13,4,0.001,95,8.7474328564,0.8078848775,8.5340971475
9/1/2005,0.005,1.13,4,0.001,95,8.7728935695,0.8161745592,8.5697665432
10/1/2005,0.005,1.13,4,0.001,95,8.7972160503,0.8229735901,8.6023848817
11/1/2005,0.005,1.13,4,0.001,95,8.8165567539,0.8298639051,8.6300631924
12/1/2005,0.005,1.13,4,0.001,95,8.8450229834,0.8339290076,8.6634159804
1/1/2006,0.005,1.13,4,0.001,95,8.8622593768,0.8424868274,8.6908621248
2/1/2006,0.005,1.13,4,0.001,95,8.8751247812,0.8588797702,8.7229984495
3/1/2006,0.005,1.13,4,0.001,95,8.9043487936,0.8629625641,8.756964826
4/1/2006,0.005,1.13,4,0.001,95,8.9290481416,0.8632340517,8.781978724
5/1/2006,0.005,1.13,4,0.001,95,8.9679698577,0.8528816453,8.8088353655
6/1/2006,0.005,1.13,4,0.001,95,9.0013047637,0.86342526,8.8544568239
7/1/2006,0.005,1.13,4,0.001,95,9.0315959389,0.8791812455,8.9028317315
8/1/2006,0.005,1.13,4,0.001,95,9.0562279467,0.878057225,8.9261844358
9/1/2006,0.005,1.13,4,0.001,95,9.0929962185,0.8755184308,8.9600571428
10/1/2006,0.005,1.13,4,0.001,95,9.1244087294,0.8737607416,8.9894600376
11/1/2006,0.005,1.13,4,0.001,95,9.1501344007,0.8765763552,9.0184029361
12/1/2006,0.005,1.13,4,0.001,95,9.18307933,0.8847900866,9.0606744776
1/1/2007,0.005,1.13,4,0.001,95,9.2017290048,0.8941673287,9.0898666521
2/1/2007,0.005,1.13,4,0.001,95,9.2273627483,0.9042997976,9.1267684092
3/1/2007,0.005,1.13,4,0.001,95,9.2931509849,0.8858073198,9.1718951608
4/1/2007,0.005,1.13,4,0.001,95,9.3260885217,0.8775133951,9.195425463
5/1/2007,0.005,1.13,4,0.001,95,9.3812505064,0.8732252985,9.2456888238
6/1/2007,0.005,1.13,4,0.001,95,9.3752496093,0.9085612253,9.2793566075
7/1/2007,0.005,1.13,4,0.001,95,9.396454988,0.9218044737,9.3150328426
8/1/2007,0.005,1.13,4,0.001,95,9.4238945513,0.9313873776,9.3528145507
9/1/2007,0.005,1.13,4,0.001,95,9.4496520734,0.9328031188,9.3800909535
10/1/2007,0.005,1.13,4,0.001,95,9.4728796261,0.9474087342,9.4188549567
11/1/2007,0.005,1.13,4,0.001,95,9.5025380947,0.9509795091,9.4522753314
12/1/2007,0.005,1.13,4,0.001,95,9.5260234228,0.9384745295,9.4625238599
1/1/2008,0.005,1.13,4,0.001,95,9.5480903113,0.9675096206,9.5150604009
2/1/2008,0.005,1.13,4,0.001,95,9.56842554,0.9755196107,9.5436405242
3/1/2008,0.005,1.13,4,0.001,95,9.586580069,0.9886830823,9.5751986277
4/1/2008,0.005,1.13,4,0.001,95,9.588625079,1.021017053,9.6094243204
5/1/2008,0.005,1.13,4,0.001,95,9.6190753896,1.0186514446,9.637555029
6/1/2008,0.005,1.13,4,0.001,95,9.6395841417,1.0238596305,9.6631635794
7/1/2008,0.005,1.13,4,0.001,95,9.6453793305,1.0454768744,9.689852451
8/1/2008,0.005,1.13,4,0.001,95,9.679308908,1.035727139,9.7144126378
9/1/2008,0.005,1.13,4,0.001,95,9.6715184828,1.0629997165,9.7326133155
10/1/2008,0.005,1.13,4,0.001,95,9.6542446117,1.1023408467,9.7516805729
11/1/2008,0.005,1.13,4,0.001,95,9.6415688557,1.1306170072,9.7643323635
12/1/2008,0.005,1.13,4,0.001,95,9.6574227966,1.1309698835,9.7804983652
1/1/2009,0.005,1.13,4,0.001,95,9.6701504602,1.1887579323,9.8430594679
2/1/2009,0.005,1.13,4,0.001,95,9.6720337766,1.1941804222,9.8494938876
