;exog_cb;exog_cf;exog_ir;exog_sf;exog_oil;money;credit/money;credit
02.01.2001;0;1;1;0;50;7;0.704312697;7.045520613
02.01.2001;0;1;1;0;50;7;0.704312697;7.045520613
02.01.2001;0;1;1;0;50;7;0.704312697;7.045520613
02.01.2001;0;1;1;0;50;7;0.704312697;7.045520613
02.01.2001;0;1;1;0;50;7;0.704312697;7.045520613
02.01.2001;0;1;1;0;50;7;0.704312697;7.045520613
02.01.2001;0;1;1;0;50;7;0.704312697;7.045520613
02.01.2001;0;1;1;0;50;7;0.704312697;7.045520613
02.01.2001;0;1;1;0;50;7;0.704312697;7.045520613
02.01.2001;0;1;1;0;50;7;0.704312697;7.045520613
11.01.2001;-0.008536342;1.23;4;-0.006474837;77.12;7.622230016;0.748114789;7.332031165
12.01.2001;0.012035002;0.98;3.78;-0.023712432;74.72;7.634578017;0.767233985;7.369614558
01.01.2002;-0.006748146;0.88;3.53;-0.008932356;79.3;7.651042321;0.775038811;7.396200149
02.01.2002;-0.011572103;1.10;3.28;-0.006485504;84.14;7.660331748;0.786929347;7.420714938
03.01.2002;0.012693742;1.60;2.76;-0.006559015;75.54;7.68215025;0.796406754;7.454505023
04.01.2002;0.019176902;1.73;2.55;0.011399521;74.73;7.712677038;0.785247051;7.470920142
05.01.2002;0.017588585;1.18;2.62;-0.006831542;74.52;7.743104908;0.771596265;7.48381107
06.01.2002;0.002930072;1.30;2.58;-0.006539291;75.88;7.755896154;0.784549804;7.51325093
07.01.2002;0.004108591;1.19;2.63;0.004924024;76.11;7.783783507;0.77816339;7.532964743
08.01.2002;0.00729528;1.06;2.69;0.005340149;81.72;7.811240279;0.769085232;7.548686799
09.01.2002;0.014332807;1.18;3.03;-0.007549799;84.53;7.832117039;0.767945489;7.568080513
10.01.2002;0.005476647;0.89;2.89;-0.028961037;90.07;7.864961955;0.762171101;7.593377748
11.01.2002;-0.022721888;0.98;2.71;0.016868713;92.66;7.891812723;0.762863127;7.621136071
12.01.2002;-0.007384908;0.92;2.82;0.003275678;97.73;7.923710037;0.74829077;7.63374639
01.01.2003;0.005333496;0.89;3.08;0.002296326;108.65;7.944710317;0.768188634;7.680990359
02.01.2003;0.001233444;0.74;3.22;0.00202185;116.32;7.981044375;0.754547461;7.699407277
03.01.2003;0.007785262;0.77;3.73;0.003373328;108.18;8.010045469;0.750606318;7.723171493
04.01.2003;0.009478731;0.83;3.71;0.005344103;105.85;8.031652218;0.75608057;7.752044884
05.01.2003;0.006597674;1.26;3.85;0.0103439;107.88;8.062696513;0.766333745;7.796559007
06.01.2003;-0.0001956;1.58;3.94;0.006807804;100.45;8.09810226;0.759187868;7.822596247
07.01.2003;0.037941823;2.15;4.43;0.006357562;100.83;8.126351474;0.763246534;7.856177285
