Date;ER;DD;dflows;LER;dLER;dPoil;dDate;match
05.07.2000;28.03;0.316131581;0.001685896;3.333275365;-0.071326679;-1.035943224;;4
10.07.2000;27.99;0.313097744;0.001302515;3.331847304;-0.142806165;-0.358598591;5;9
15.07.2000;27.85;0.310658068;0.001608564;3.326832966;-0.501433715;1.7160855;5;14
20.07.2000;27.75;0.309396009;-0.000241841;3.32323584;-0.359712618;-9.489293139;5;19
25.07.2000;27.64;0.309121808;0.00179561;3.319263999;-0.397184129;-5.402800174;5;24
01.08.2000;27.82;0.312797;0.004127551;3.325755186;0.64911876;-5.908891637;7;31
05.08.2000;27.77;0.303581339;-0.011669844;3.323956301;-0.179888518;6.651285544;4;35
10.08.2000;27.7;0.302125418;0.003232899;3.321432413;-0.252388813;3.951937133;5;40
15.08.2000;27.69;0.30199447;0.001147424;3.321071337;-0.036107601;3.870101238;5;45
20.08.2000;27.73;0.301106389;-0.000244027;3.32251486;0.144352244;4.905069957;5;50
25.08.2000;27.7;0.302746489;0.002828321;3.321432413;-0.108244643;3.07815261;5;55
01.09.2000;27.75;0.318790635;0.019937528;3.32323584;0.1803427;10.2261307;7;62
05.09.2000;27.75;0.308514134;-0.01612429;3.32323584;0;2.644317224;4;66
10.09.2000;27.86;0.305948802;0.000185054;3.327191968;0.395612816;3.839818217;5;71
15.09.2000;27.78;0.306118462;0.0029361;3.324316337;-0.287563103;-17.72582548;5;76
20.09.2000;27.77;0.305835194;0.000365516;3.323956301;-0.036003601;6.573397854;5;81
25.09.2000;27.79;0.307443981;0.00197392;3.324676244;0.071994244;-5.810763081;5;86
01.10.2000;27.75;0.317572821;0.017299577;3.32323584;-0.144040356;-8.865305879;6;92
05.10.2000;27.81;0.307395953;-0.014774985;3.325395668;0.215982805;3.934044097;4;96
10.10.2000;27.88;0.308029629;0.00303381;3.327909586;0.251391765;-0.266400424;5;101
15.10.2000;27.9;0.309261728;0.002964017;3.328626689;0.071710293;10.91877938;5;106
20.10.2000;27.93;0.3094321;0.000827369;3.32970138;0.107469113;-6.675322889;5;111
25.10.2000;27.91;0.311326505;0.0024647;3.328985048;-0.071633241;1.648214808;5;116
01.11.2000;27.82;0.323244013;0.017227954;3.325755186;-0.322986105;-5.359578259;7;123
05.11.2000;27.81;0.312810807;-0.011176509;3.325395668;-0.035951825;2.165438944;4;127
10.11.2000;27.72;0.312469735;0.001777016;3.322154174;-0.324149392;3.131246231;5;132
15.11.2000;27.7;0.31414676;0.003738669;3.321432413;-0.072176113;3.886979138;5;137
20.11.2000;27.81;0.312247087;-0.001418613;3.325395668;0.396325505;0.120955564;5;142
25.11.2000;27.88;0.310373135;0.001135565;3.327909586;0.251391765;0.602592965;5;147
01.12.2000;27.89;0.321794153;0.015397977;3.328268202;0.035861575;-2.30943111;6;153
05.12.2000;27.91;0.315775809;-0.00972235;3.328985048;0.071684591;-6.870746143;4;157
10.12.2000;27.95;0.315107419;0.003708465;3.3304172;0.143215205;-8.662231268;5;162
15.12.2000;27.92;0.319192043;0.007396261;3.329343278;-0.107392171;-13.55339093;5;167
20.12.2000;27.95;0.31678089;-0.0030499;3.3304172;0.107392171;0.164338574;5;172
25.12.2000;27.97;0.319251707;0.004514876;3.331132507;0.071530761;-9.149971487;5;177
01.01.2001;28.16;0.323132517;0.010973957;3.337902531;0.677002408;1.562183075;7;184
05.01.2001;28.48;0.325406186;-0.006369404;3.349202087;1.129955525;8.446162781;4;188
10.01.2001;28.39;0.327203624;0.004248816;3.34603697;-0.316511606;-1.80703069;5;193
15.01.2001;28.35;0.32591782;0.001066731;3.34462703;-0.140994031;6.030766074;5;198
20.01.2001;28.34;0.325138263;0.002005242;3.344274234;-0.035279591;-3.534217341;5;203
25.01.2001;28.39;0.32732498;0.001764798;3.34603697;0.176273622;8.889588421;5;208
01.02.2001;28.4;0.326455438;0.006281468;3.346389145;0.035217468;-1.678204592;7;215
05.02.2001;28.45;0.33074704;0.000193989;3.348148161;0.175901541;8.330638986;4;219
10.02.2001;28.59;0.330933225;0.003517019;3.353057006;0.490884576;5.976938138;5;224
15.02.2001;28.67;0.332933806;0.002923042;3.35585128;0.279427356;-9.534277486;5;229
20.02.2001;28.66;0.340462287;0.013741449;3.355502422;-0.03488575;-3.058119635;5;234
25.02.2001;28.68;0.333662183;-0.010182075;3.356200016;0.069759333;-4.925237818;5;239
01.03.2001;28.62;0.331611131;0.005082232;3.354105774;-0.20942416;-2.317919528;4;243
05.03.2001;28.65;0.327725163;-0.013427301;3.355153443;0.104766903;0.475813745;4;247
10.03.2001;28.62;0.325430056;0.002195355;3.354105774;-0.104766903;4.221343109;5;252
15.03.2001;28.66;0.326812003;0.002452031;3.355502422;0.139664827;-8.133921204;5;257
20.03.2001;28.65;0.326427914;0.001450662;3.355153443;-0.034897924;-4.716663706;5;262
25.03.2001;28.76;0.326964603;0.000785605;3.358985533;0.383208969;1.114934363;5;267
01.04.2001;28.74;0.33259351;0.017602493;3.358289881;-0.06956522;1.355378648;7;274
05.04.2001;28.86;0.340294216;0.004813422;3.362456553;0.416667269;2.410756816;4;278
10.04.2001;28.84;0.336750574;-0.001076537;3.361763312;-0.069324093;0.082101811;5;283
15.04.2001;28.82;0.334926444;-0.000217843;3.361069591;-0.069372185;10.69185954;5;288
20.04.2001;28.9;0.334379644;0.000170117;3.363841595;0.277200455;-4.757408973;5;293
25.04.2001;28.85;0.334964278;0.001082298;3.362109993;-0.173160216;-0.387447211;5;298
01.05.2001;28.83;0.332483883;0.00730914;3.361416512;-0.06934813;5.476165156;6;304
05.05.2001;28.96;0.335857483;-0.004617871;3.365915568;0.449905587;0.914584755;4;308
10.05.2001;28.96;0.335102459;0.002758441;3.365915568;0;0;5;313
15.05.2001;28.99;0.336648881;0.003943799;3.366950943;0.103537542;1.122590098;5;318
20.05.2001;29.09;0.334845863;-0.000873561;3.370394473;0.344352957;2.840091492;5;323
25.05.2001;29.08;0.336234871;0.001910471;3.370050653;-0.034381984;0.975277671;5;328
01.06.2001;29.14;0.336049848;0.006044955;3.372111801;0.20611481;-1.045305685;7;335
05.06.2001;29.16;0.343828645;0.00494554;3.372797907;0.068610637;1.391326792;4;339
10.06.2001;29.13;0.338183071;-0.001825508;3.371768571;-0.102933617;-1.391326792;5;344
15.06.2001;29.08;0.339378901;0.002164968;3.370050653;-0.171791831;-0.175284883;5;349
20.06.2001;29.09;0.338971438;0.001201514;3.370394473;0.034381984;-6.598986623;5;354
25.06.2001;29.1;0.338693621;0.000993084;3.370738174;0.034370167;0.672397005;5;359
01.07.2001;29.07;0.337744205;0.00730813;3.369706715;-0.103145961;-4.492571227;6;365
05.07.2001;29.18;0.341518778;-0.000885588;3.373483543;0.377682852;1.122954685;4;369
10.07.2001;29.22;0.341563601;0.003188617;3.374853406;0.136986323;-1.47403755;5;374
15.07.2001;29.2;0.339056215;-0.000461315;3.374168709;-0.068469705;-8.01078394;5;379
20.07.2001;29.27;0.340569217;0.004145571;3.376563101;0.239439143;-1.149682665;5;384
25.07.2001;29.28;0.340996293;-0.000208271;3.376904689;0.034158839;4.275588352;5;389
01.08.2001;29.32;0.342142224;0.007969994;3.378269877;0.136518793;-0.082101811;7;396
05.08.2001;29.36;0.34375035;-0.002145993;3.379633204;0.136332673;4.575436886;4;400
10.08.2001;29.34;0.343804577;0.003669239;3.378951773;-0.068143103;-0.827264911;5;405
15.08.2001;29.33;0.344058124;0.001695888;3.378610883;-0.034088973;1.6866452;5;410
20.08.2001;29.36;0.342752636;0.0001806;3.379633204;0.102232076;-4.088682224;5;415
25.08.2001;29.37;0.343353619;0.000868306;3.379973745;0.034054146;3.894016015;5;420
01.09.2001;29.41;0.342840878;0.006079706;3.381334753;0.136100736;3.973020622;7;427
05.09.2001;29.45;0.346732987;-0.001862126;3.38269391;0.135915753;-1.623596171;4;431
10.09.2001;29.43;0.344567432;0.001724957;3.382014562;-0.067934785;4.72118896;5;436
15.09.2001;29.45;0.340683183;-0.001208592;3.38269391;0.067934785;2.368248464;5;441
20.09.2001;29.45;0.340105765;0.000837727;3.38269391;0;-10.29992395;5;446
25.09.2001;29.42;0.340019435;-0.000378418;3.381674715;-0.101919492;-20.95764114;5;451
01.10.2001;29.39;0.335229932;0.003254816;3.38065448;-0.102023474;5.836950761;6;457
05.10.2001;29.5;0.337941696;0.001145669;3.384390263;0.373578291;-4.345462925;4;461
10.10.2001;29.52;0.334980077;-0.001523393;3.385068;0.067773639;-1.394588604;5;466
15.10.2001;29.5;3.34E-01;0.0000947;3.384390263;-0.067773639;-0.388161574;5;471
20.10.2001;29.55;0.332768876;0.000603824;3.386083744;0.169348051;-6.840272688;5;476
25.10.2001;29.57;0.33346819;0.000849271;3.386760334;0.067659001;5.863225346;5;481
01.11.2001;29.68;0.334244969;0.006425187;3.390473418;0.371308443;-3.700422195;7;488
05.11.2001;29.73;0.336464144;-0.002341505;3.392156637;0.168321871;-5.228582368;4;492
10.11.2001;29.71;0.33448526;0.002153989;3.391483689;-0.067294754;4.7690462;5;497
15.11.2001;29.72;0.337116508;0.003306941;3.39182022;0.033653038;-3.967117284;5;502
20.11.2001;29.8;0.336532622;0.000134046;3.394508394;0.268817366;-12.6406372;5;507
25.11.2001;29.93;0.338654339;0.001315613;3.398861322;0.435292835;17.16912365;5;512
01.12.2001;29.9;0.338981564;0.008296585;3.39785848;-0.100284147;-5.814677818;6;518
05.12.2001;29.93;0.345473819;0.002605862;3.398861322;0.100284147;3.913772905;4;522
10.12.2001;29.95;0.342101731;-0.000318564;3.399529325;0.06680027;-7.930819188;5;527
15.12.2001;30.18;0.34455855;0.004138936;3.407179453;0.765012878;-0.056164;5;532
20.12.2001;30.28;0.349243581;0.005806661;3.410487429;0.330797523;6.681822401;5;537
25.12.2001;30.12;0.352074366;0.006473996;3.405189403;-0.529802564;-2.017053522;5;542
01.01.2002;30.1372;0.348317032;0.008656996;3.405760289;0.057088615;3.684627339;7;549
05.01.2002;30.1372;0.350523834;-0.004584965;3.405760289;0;5.62679802;4;553
10.01.2002;30.5753;0.351280846;-0.000245683;3.420192493;1.443220438;-1.278286826;5;558
15.01.2002;30.4491;0.353629645;0.00697545;3.416056437;-0.413605639;-6.75448499;5;563
20.01.2002;30.5788;0.354345477;0.004027776;3.420306958;0.425052133;-3.721108743;5;568
25.01.2002;30.538;0.356338346;0.003884795;3.41897181;-0.133514864;3.826928859;5;573
01.02.2002;30.6797;0.357187427;0.006402395;3.423601198;0.462938833;0.842553694;7;580
05.02.2002;30.7299;0.361895528;-0.00130878;3.425236122;0.163492389;6.053207921;4;584
10.02.2002;30.7644;0.35712387;0.00232982;3.426358177;0.112205533;-4.234503596;5;589
15.02.2002;30.8281;0.359015917;0.004163481;3.428426612;0.206843439;7.678938205;5;594
20.02.2002;30.8949;0.3583956;-0.001108787;3.430591122;0.216451002;-3.840082999;5;599
25.02.2002;30.8409;0.358312823;0.00229611;3.428841731;-0.174939059;-0.198412764;5;604
01.03.2002;30.9404;0.357479876;0.004800045;3.432062773;0.322104216;2.887403916;4;608
05.03.2002;30.9949;0.361457404;-0.000627317;3.433822675;0.175990151;4.064831808;4;612
10.03.2002;30.9946;0.359112752;-0.000247675;3.433812996;-0.000967906;6.7602373;5;617
15.03.2002;31.0237;0.358994139;0.003248613;3.434751429;0.093843276;2.817087697;5;622
20.03.2002;31.1248;0.362919521;0.006203702;3.438004929;0.325350054;3.107770305;5;627
25.03.2002;31.1168;0.362253099;-0.000392003;3.437747866;-0.02570628;1.297140198;5;632
01.04.2002;31.1192;0.362592102;0.007279886;3.437824992;0.007712578;2.033157537;7;639
05.04.2002;31.184;0.366985938;0.002020512;3.439905143;0.208015073;6.234096226;4;643
10.04.2002;31.1644;0.366020169;0.001231157;3.439276418;-0.062872506;-5.683130645;5;648
15.04.2002;31.1734;0.364980565;0.001351841;3.439565167;0.028874936;-9.158869867;5;653
20.04.2002;31.1711;0.364908148;0.001484552;3.439491383;-0.007378357;10.79378367;5;658
25.04.2002;31.1579;0.369477029;0.006889545;3.439067825;-0.042355886;1.151644206;5;663
01.05.2002;31.1951;0.36494615;0.004839202;3.440261031;0.119320656;2.933644001;6;669
05.05.2002;31.1951;0.367356561;-0.002809736;3.440261031;0;-4.743822449;4;673
10.05.2002;31.2119;0.366673184;0.001105733;3.440799432;0.053840115;1.389447286;5;678
15.05.2002;31.2453;0.367727599;0.002066349;3.441868965;0.106953252;3.871936392;5;683
20.05.2002;31.2553;0.365919793;0.000526736;3.442188962;0.031999693;-6.355572008;5;688
25.05.2002;31.285;0.366896433;0.001897566;3.443138749;0.094978765;-5.824533276;5;693
01.06.2002;31.3058;0.367001322;0.007130095;3.443803384;0.066463444;-1.21518361;7;700
05.06.2002;31.3272;0.371716177;0.000207206;3.44448673;0.068334587;0.630386622;4;704
10.06.2002;31.397;0.369055296;0.000279778;3.446712347;0.222561719;-3.756310158;5;709
15.06.2002;31.3965;0.368218802;0.002795527;3.446696422;-0.001592522;3.125923535;5;714
20.06.2002;31.4337;0.369501696;0.002284952;3.447880566;0.118414407;4.653917841;5;719
25.06.2002;31.4725;0.371551161;0.002948483;3.449114149;0.123358286;0.56179923;5;724
01.07.2002;31.4471;0.369667773;0.006442513;3.448306769;-0.080737962;1.351371917;6;730
05.07.2002;31.5128;0.372478734;-0.000309872;3.450393813;0.208704346;0.708106814;4;734
10.07.2002;31.5533;0.372309818;0.002175786;3.451678179;0.12843669;-2.420272868;5;739
15.07.2002;31.5555;0.370911081;0.00163238;3.4517479;0.006972086;4.745057924;5;744
20.07.2002;31.5332;0.371814306;0.003678303;3.451040959;-0.070694121;2.309396596;5;749
25.07.2002;31.5035;0.37266076;0.001446558;3.450098651;-0.094230828;-4.948276923;5;754
01.08.2002;31.4568;0.371470611;0.005518005;3.448615176;-0.148347478;3.287861418;7;761
05.08.2002;31.5502;0.374595325;-0.001581991;3.451579928;0.296475212;-4.315538447;4;765
10.08.2002;31.5828;0.372483326;0.002109232;3.452612669;0.10327405;1.341772301;5;770
15.08.2002;31.5405;0.373634221;0.004156379;3.451272434;-0.134023431;3.694148409;5;775
20.08.2002;31.555;0.374356479;0.000669886;3.451732055;0.045962074;3.598978662;5;780
25.08.2002;31.5725;0.373649235;-0.001177873;3.452286489;0.05544335;1.339386539;5;785
01.09.2002;31.5673;0.373980107;0.006314293;3.452121775;-0.016471386;-2.549300474;7;792
05.09.2002;31.6117;0.378339045;0.000314181;3.453527305;0.140553055;0.735027198;4;796
10.09.2002;31.6268;0.376247154;0.001541981;3.454004862;0.047755719;4.859834441;5;801
