Date,NER,ND,match
12.01.2002,-0.000374347,-0.00019428,559
15.01.2002,-0.000179426,-0.0000189,562
17.01.2002,-0.0000435,-0.000169452,564
19.01.2002,-0.00000379,0.0000197,566
22.01.2002,-0.0000357,-0.0000979,569
24.01.2002,-0.0000323,-0.000087,571
25.01.2002,-0.000250289,0.000105637,572
26.01.2002,0.0000464,0.0000641,573
28.01.2002,-0.000156265,0.0000207,575
29.01.2002,-0.000133297,-0.000156802,576
31.01.2002,0.00000103,0.000025,578
02.02.2002,-0.000243256,-0.000179236,580
05.02.2002,-0.000149876,-0.0000412,583
07.02.2002,-0.0000708,0.0000992,585
11.02.2002,-0.000167325,-0.0000698,589
12.02.2002,-0.000280165,-0.000185028,590
14.02.2002,-0.000353521,-0.000183198,592
16.02.2002,-0.0000251,-0.0000761,594
19.02.2002,-0.000178811,-0.000186826,597
24.02.2002,-0.000344455,-0.000225296,602
25.02.2002,-0.0000867,-0.000155499,603
27.02.2002,-0.000314534,-0.000146332,605
04.03.2002,0.000410246,-0.000191707,610
05.03.2002,-0.000179642,0.0000283,611
07.03.2002,-0.000156243,-0.000374296,613
09.03.2002,-0.00028176,0.000069,615
13.03.2002,-0.00024695,-0.000103409,619
14.03.2002,0.0000391,-0.000118585,620
16.03.2002,0.000185616,0.000213474,622
19.03.2002,-0.00018944,-0.00000928,625
21.03.2002,-0.000158002,-0.000105178,627
23.03.2002,0.0000566,-0.00000165,629
26.03.2002,-0.0000713,-0.0000831,632
28.03.2002,0.000233664,0.000082,634
30.03.2002,0.00010994,-0.0000126,636
02.04.2002,-0.000165335,-0.0000766,639
04.04.2002,-0.000140629,0.000141054,641
06.04.2002,0.000223101,0.00010156,643
09.04.2002,-0.000136978,-0.000199926,646
11.04.2002,-0.000015,0.00001,648
13.04.2002,0.000104033,0.000236567,650
16.04.2002,0.000106713,-0.0000308,653
19.04.2002,0.00018121,0.0000408,656
20.04.2002,-0.0000178,-0.000150821,657
23.04.2002,0.0000483,-0.000046,660
25.04.2002,-0.000620188,-0.0000183,662
27.04.2002,0.000205895,0.0000285,664
30.04.2002,0.000176384,-0.0000866,667
09.05.2002,0.000173525,-0.0000395,676
14.05.2002,0.0000331,0.000457921,681
16.05.2002,-0.0000659,-0.0000794,683
18.05.2002,0.000131402,-0.00018361,685
21.05.2002,-0.0000342,-0.0000223,688
23.05.2002,0.0000087,-0.0000234,690
25.05.2002,-0.0000256,0.000331134,692
28.05.2002,-0.00015156,0.0000826,695
30.05.2002,-0.0000848,-0.0000308,697
01.06.2002,-0.000169323,-0.000327118,699
04.06.2002,-0.000220087,-0.0000542,702
06.06.2002,-0.000152346,0.0000551,704
08.06.2002,-0.000225862,0.000243438,706
11.06.2002,0,0,709
13.06.2002,-0.000445052,0.000380111,711
15.06.2002,-0.000000583,0.00024702,713
18.06.2002,-0.000321241,-0.000116617,716
20.06.2002,-0.000369998,-0.0000411,718
22.06.2002,-0.000506676,-0.0000604,720
25.06.2002,-0.000522661,-0.000130389,723
27.06.2002,-0.000102629,0.0000371,725
29.06.2002,-0.000178326,-0.0000744,727
02.07.2002,-0.000318033,-0.0000124,730
06.07.2002,-0.000352585,-0.000340892,734
09.07.2002,-0.000162183,0.00000609,737
11.07.2002,-0.000358439,0.000203801,739
13.07.2002,-0.000127672,0.0000929,741
16.07.2002,-0.000181481,-0.0000892,744
18.07.2002,-0.000246762,0.00006,746
22.07.2002,-0.000773965,-0.000217293,750
23.07.2002,-0.000598381,-0.0000587,751
25.07.2002,-0.000140401,-0.00016599,753
27.07.2002,-0.000161807,-0.0000755,755
30.07.2002,-0.000209353,0.0000505,758
01.08.2002,0.00000353,-0.0000293,760
03.08.2002,-0.000237848,-0.000155283,762
06.08.2002,-0.000224409,-0.0000839,765
08.08.2002,-0.000208316,-0.000252063,767
10.08.2002,-0.000146772,0.00000257,769
13.08.2002,-0.0000186,-0.0000304,772
15.08.2002,-0.00016323,0.0000408,774
17.08.2002,0.000029,-0.0000776,776
20.08.2002,-0.000099,-0.000122758,779
22.08.2002,-0.000127114,-0.000140539,781
24.08.2002,0.000152245,0.00013718,783
27.08.2002,-0.000113096,-0.00000683,786
29.08.2002,-0.000262721,-0.0000901,788
31.08.2002,-0.000188878,0.0000502,790
05.09.2002,-0.000483431,-0.0000462,795
09.09.2002,-0.000078,-0.0000999,799
10.09.2002,-0.000136934,0.0000374,800
12.09.2002,-0.000622786,-0.000305055,802
14.09.2002,-0.00020525,-0.000213353,804
17.09.2002,-0.000167058,-0.000153413,807
19.09.2002,-0.000422898,-0.0000418,809
21.09.2002,0.0000101,-0.0000567,811
24.09.2002,-0.000183514,-0.0000797,814
26.09.2002,-0.000124171,-0.000250465,816
28.09.2002,-0.00026148,-0.0000277,818
03.10.2002,-0.000324012,0.000160894,823
05.10.2002,0.0000134,-0.000287511,825
08.10.2002,-0.000189004,-0.000174147,828
10.10.2002,-0.000448404,-0.000235436,830
12.10.2002,-0.000122735,-0.000138557,832
15.10.2002,-0.000305947,-0.00000418,835
17.10.2002,-0.0000753,0.000120067,837
19.10.2002,0.0000547,0.0000676,839
22.10.2002,-0.00000303,0.0000408,842
24.10.2002,-0.000107367,0.0000618,844
26.10.2002,-0.000192846,-0.0000569,846
29.10.2002,-0.000295509,-0.0000905,849
31.10.2002,-0.000209556,-0.000239081,851
02.11.2002,-0.0000424,-0.0000222,853
05.11.2002,-0.00000739,-0.0000795,856
09.11.2002,-0.000266314,-0.000124779,860
12.11.2002,0.0000671,-0.000347121,863
14.11.2002,-0.0001071,0.0000121,865
16.11.2002,0.000181658,0.00028883,867
19.11.2002,-0.000167922,0.00000107,870
21.11.2002,-0.00000518,0.000209839,872
23.11.2002,-0.0000699,0.0000518,874
26.11.2002,0.00015063,0.0000332,877
28.11.2002,-0.0000537,0.0000913,879
30.11.2002,-0.000107743,-0.0000996,881
03.12.2002,-0.0000411,0.000134948,884
05.12.2002,-0.0000959,0.00000111,886
09.12.2002,-0.0000681,-0.000133423,890
10.12.2002,-0.000172495,-0.000012,891
14.12.2002,-0.0000264,0.0000188,895
17.12.2002,-0.00018859,-0.000151351,898
19.12.2002,-0.00000772,0.0000587,900
21.12.2002,0.0000661,-0.0000736,902
24.12.2002,-0.000246438,-0.000119302,905
26.12.2002,-0.0000651,0.0000621,907
28.12.2002,0.000437724,0.00014869,909
11.01.2003,-0.000304479,-0.000114574,923
14.01.2003,-0.0000656,0.000180054,926
16.01.2003,-0.00010012,0.000133457,928
20.01.2003,-0.000264192,-0.000171405,932
21.01.2003,-0.000223363,-0.0000533,933
23.01.2003,-0.000433851,-0.000212525,935
24.01.2003,-0.000418307,-0.00000187,936
25.01.2003,-0.000515578,-0.000207178,937
28.01.2003,-0.000267552,-0.0000384,940
30.01.2003,0.000130364,0.000196568,942
01.02.2003,0.000122654,-0.000238646,944
04.02.2003,-0.0000399,0.0000407,947
06.02.2003,-0.000129918,-0.0000633,949
08.02.2003,0.000145937,0.00015942,951
11.02.2003,0.000111408,0.0000261,954
13.02.2003,0.0000772,-0.0000346,956
15.02.2003,0.0000251,-0.000280106,958
18.02.2003,-0.0000396,0.00000611,961
20.02.2003,0.0000277,0.0000713,963
21.02.2003,0.000100108,0.000250717,964
25.02.2003,-0.0000187,0.0000615,968
01.03.2003,0.0000359,-0.000158879,972
07.03.2003,-0.000167069,0.0000928,978
13.03.2003,-0.000203348,-0.0000769,984
15.03.2003,-0.000136141,-0.00000116,986
21.03.2003,-0.000346029,-0.0000209,992
23.03.2003,-0.000398175,-0.0000814,994
25.03.2003,-0.000263611,0.0000815,996
27.03.2003,-0.000100644,0.000110227,998
29.03.2003,0.0000103,0.000229542,1000
31.03.2003,-0.000392937,-0.000151969,1002
02.04.2003,-0.0000143,0.0000547,1004
04.04.2003,0.000283124,0.00037568,1006
06.04.2003,-0.000147904,0.0000856,1008
08.04.2003,-0.0000813,0.000103814,1010
09.04.2003,-0.00023767,-0.000032,1011
10.04.2003,0.0000751,0.000101157,1012
11.04.2003,0.000140837,0.000137611,1013
14.04.2003,0.0000652,0.000152833,1016
15.04.2003,0.000210816,0.000184775,1017
16.04.2003,0.0000938,-0.000173134,1018
17.04.2003,0.000141099,0.00015729,1019
18.04.2003,0.000111585,-0.0000922,1020
21.04.2003,-0.0000734,0.0000216,1023
22.04.2003,-0.000181551,-0.000123276,1024
23.04.2003,0.000148099,0.000072,1025
24.04.2003,0.00004,-0.000217012,1026
25.04.2003,0.0000907,0.000291012,1027
28.04.2003,-0.00000813,0.0000896,1030
29.04.2003,0.00018327,0.000033,1031
20.05.2003,0.000000379,0.0000597,1052
22.05.2003,0.0000681,0.00000674,1054
23.05.2003,-0.0000678,-0.000041,1055
26.05.2003,-0.0000925,0.000314051,1058
27.05.2003,0.0000616,0.0000982,1059
28.05.2003,0.000182885,0.0000965,1060
29.05.2003,-0.0000601,-0.0000422,1061
30.05.2003,-0.000239342,0.0000553,1062
02.06.2003,0.0000937,0.00016886,1065
06.06.2003,0.000000392,0.000177802,1069
09.06.2003,-0.0000249,0.0000547,1072
10.06.2003,0.000079,0.00013271,1073
11.06.2003,0.000074,-0.0000172,1074
16.06.2003,-0.00027319,-0.000368739,1079
17.06.2003,-0.000137715,-0.000011,1080
18.06.2003,0.0000917,0.0000929,1081
19.06.2003,-0.0000249,0.00000562,1082
20.06.2003,-0.000141593,-0.0000407,1083
21.06.2003,0.000282454,0.0000472,1084
23.06.2003,0.000116398,0.0000738,1086
24.06.2003,0.000132704,0.0000234,1087
25.06.2003,-0.0000495,-0.000136837,1088
26.06.2003,0.000127079,-0.0000781,1089
27.06.2003,0.0000662,0.0000455,1090
30.06.2003,0.0000713,-0.00010709,1093
01.07.2003,-0.0000988,0.0000457,1094
02.07.2003,-0.0000832,0.000122193,1095
03.07.2003,0.000185432,0.000116523,1096
04.07.2003,-0.000223375,0.0000691,1097
07.07.2003,-0.0000158,-0.000111917,1100
08.07.2003,-0.0000329,0.0000129,1101
09.07.2003,0.000234497,0.000119702,1102
10.07.2003,-0.000345681,-0.000011,1103
11.07.2003,-0.000235594,-0.000208432,1104
14.07.2003,-0.000230579,0.0000142,1107
16.07.2003,-0.000348126,-0.0000909,1109
17.07.2003,-0.000162179,-0.0000823,1110
18.07.2003,-0.000276173,-0.000105426,1111
21.07.2003,-0.000516999,-0.000215028,1114
22.07.2003,-0.000120263,0.000139278,1115
23.07.2003,-0.000158124,0.0000955,1116
24.07.2003,-0.00019571,-0.000208782,1117
25.07.2003,-0.00023541,-0.0000812,1118
28.07.2003,0.000249111,0.000397562,1121
29.07.2003,-0.000104475,0.000214794,1122
30.07.2003,-0.0000912,0.0000398,1123
31.07.2003,-0.000341778,0.00013993,1124
01.08.2003,0.0000976,0.000140962,1125
04.08.2003,-0.000234149,0.000108354,1128
05.08.2003,-0.0000896,0.00023596,1129
06.08.2003,-0.000018,-0.0000642,1130
