Date,NER,ND,match,match2
12.01.2002,-0.000374347,-0.00019428,559,109
15.01.2002,-0.000179426,-0.0000189,562,110
17.01.2002,-0.0000435,-0.000169452,564,110
19.01.2002,-0.00000379,0.0000197,566,110
22.01.2002,-0.0000357,-0.0000979,569,111
24.01.2002,-0.0000323,-0.000087,571,111
25.01.2002,-0.000250289,0.000105637,572,112
26.01.2002,0.0000464,0.0000641,573,112
28.01.2002,-0.000156265,0.0000207,575,112
29.01.2002,-0.000133297,-0.000156802,576,112
31.01.2002,0.00000103,0.000025,578,112
02.02.2002,-0.000243256,-0.000179236,580,113
05.02.2002,-0.000149876,-0.0000412,583,114
07.02.2002,-0.0000708,0.0000992,585,114
11.02.2002,-0.000167325,-0.0000698,589,115
12.02.2002,-0.000280165,-0.000185028,590,115
14.02.2002,-0.000353521,-0.000183198,592,115
16.02.2002,-0.0000251,-0.0000761,594,116
19.02.2002,-0.000178811,-0.000186826,597,116
24.02.2002,-0.000344455,-0.000225296,602,117
25.02.2002,-0.0000867,-0.000155499,603,118
27.02.2002,-0.000314534,-0.000146332,605,118
04.03.2002,0.000410246,-0.000191707,610,119
05.03.2002,-0.000179642,0.0000283,611,120
07.03.2002,-0.000156243,-0.000374296,613,120
09.03.2002,-0.00028176,0.000069,615,120
13.03.2002,-0.00024695,-0.000103409,619,121
14.03.2002,0.0000391,-0.000118585,620,121
16.03.2002,0.000185616,0.000213474,622,122
19.03.2002,-0.00018944,-0.00000928,625,122
21.03.2002,-0.000158002,-0.000105178,627,123
23.03.2002,0.0000566,-0.00000165,629,123
26.03.2002,-0.0000713,-0.0000831,632,124
28.03.2002,0.000233664,0.000082,634,124
30.03.2002,0.00010994,-0.0000126,636,124
02.04.2002,-0.000165335,-0.0000766,639,125
04.04.2002,-0.000140629,0.000141054,641,125
06.04.2002,0.000223101,0.00010156,643,126
09.04.2002,-0.000136978,-0.000199926,646,126
11.04.2002,-0.000015,0.00001,648,127
13.04.2002,0.000104033,0.000236567,650,127
16.04.2002,0.000106713,-0.0000308,653,128
19.04.2002,0.00018121,0.0000408,656,128
20.04.2002,-0.0000178,-0.000150821,657,129
23.04.2002,0.0000483,-0.000046,660,129
25.04.2002,-0.000620188,-0.0000183,662,130
27.04.2002,0.000205895,0.0000285,664,130
30.04.2002,0.000176384,-0.0000866,667,130
09.05.2002,0.000173525,-0.0000395,676,132
14.05.2002,0.0000331,0.000457921,681,133
16.05.2002,-0.0000659,-0.0000794,683,134
18.05.2002,0.000131402,-0.00018361,685,134
21.05.2002,-0.0000342,-0.0000223,688,135
23.05.2002,0.0000087,-0.0000234,690,135
25.05.2002,-0.0000256,0.000331134,692,136
28.05.2002,-0.00015156,0.0000826,695,136
30.05.2002,-0.0000848,-0.0000308,697,136
01.06.2002,-0.000169323,-0.000327118,699,137
04.06.2002,-0.000220087,-0.0000542,702,137
06.06.2002,-0.000152346,0.0000551,704,138
08.06.2002,-0.000225862,0.000243438,706,138
11.06.2002,0,0,709,139
13.06.2002,-0.000445052,0.000380111,711,139
15.06.2002,-0.000000583,0.00024702,713,140
18.06.2002,-0.000321241,-0.000116617,716,140
20.06.2002,-0.000369998,-0.0000411,718,141
22.06.2002,-0.000506676,-0.0000604,720,141
25.06.2002,-0.000522661,-0.000130389,723,142
27.06.2002,-0.000102629,0.0000371,725,142
29.06.2002,-0.000178326,-0.0000744,727,142
02.07.2002,-0.000318033,-0.0000124,730,143
06.07.2002,-0.000352585,-0.000340892,734,144
09.07.2002,-0.000162183,0.00000609,737,144
11.07.2002,-0.000358439,0.000203801,739,145
13.07.2002,-0.000127672,0.0000929,741,145
16.07.2002,-0.000181481,-0.0000892,744,146
18.07.2002,-0.000246762,0.00006,746,146
22.07.2002,-0.000773965,-0.000217293,750,147
