observation_date,UNRATENSA
1948-01-01,0.04400
1948-04-01,0.03800
1948-07-01,0.03600
1948-10-01,0.03300
1949-01-01,0.05500
1949-04-01,0.05800
1949-07-01,0.06400
1949-10-01,0.05900
1950-01-01,0.07500
1950-04-01,0.05600
1950-07-01,0.04500
1950-10-01,0.03700
1951-01-01,0.04100
1951-04-01,0.03200
1951-07-01,0.03100
1951-10-01,0.03000
1952-01-01,0.03600
1952-04-01,0.03000
1952-07-01,0.03000
1952-10-01,0.02500
1953-01-01,0.03200
1953-04-01,0.02700
1953-07-01,0.02600
1953-10-01,0.03300
1954-01-01,0.06100
1954-04-01,0.05800
1954-07-01,0.05500
1954-10-01,0.04800
1955-01-01,0.05600
1955-04-01,0.04500
1955-07-01,0.03800
1955-10-01,0.03700
1956-01-01,0.04700
1956-04-01,0.04300
1956-07-01,0.03800
1956-10-01,0.03700
1957-01-01,0.04600
1957-04-01,0.04200
1957-07-01,0.03800
1957-10-01,0.04400
1958-01-01,0.07400
1958-04-01,0.07400
1958-07-01,0.06700
1958-10-01,0.05700
1959-01-01,0.06800
1959-04-01,0.05200
1959-07-01,0.04900
1959-10-01,0.05000
1960-01-01,0.06000
1960-04-01,0.05300
1960-07-01,0.05100
1960-10-01,0.05700
1961-01-01,0.07800
1961-04-01,0.07000
1961-07-01,0.06300
1961-10-01,0.05600
1962-01-01,0.06500
1962-04-01,0.05500
1962-07-01,0.05200
1962-10-01,0.05000
1963-01-01,0.06600
1963-04-01,0.05800
1963-07-01,0.05200
1963-10-01,0.05100
1964-01-01,0.06200
1964-04-01,0.05300
1964-07-01,0.04700
1964-10-01,0.04500
1965-01-01,0.05400
1965-04-01,0.04800
1965-07-01,0.04200
1965-10-01,0.03700
1966-01-01,0.04200
1966-04-01,0.04000
1966-07-01,0.03600
1966-10-01,0.03400
1967-01-01,0.04100
1967-04-01,0.03800
1967-07-01,0.03800
1967-10-01,0.03700
1968-01-01,0.04000
1968-04-01,0.03500
1968-07-01,0.03600
1968-10-01,0.03200
1969-01-01,0.03600
1969-04-01,0.03400
1969-07-01,0.03700
1969-10-01,0.03300
1970-01-01,0.04500
1970-04-01,0.04700
1970-07-01,0.05200
1970-10-01,0.05400
1971-01-01,0.06500
1971-04-01,0.05800
1971-07-01,0.06000
1971-10-01,0.05500
1972-01-01,0.06300
1972-04-01,0.05600
1972-07-01,0.05600
1972-10-01,0.04900
1973-01-01,0.05400
1973-04-01,0.04900
1973-07-01,0.04800
1973-10-01,0.04500
1974-01-01,0.05600
1974-04-01,0.05100
1974-07-01,0.05600
1974-10-01,0.06100
1975-01-01,0.09100
1975-04-01,0.08700
1975-07-01,0.08300
1975-10-01,0.07800
1976-01-01,0.08500
1976-04-01,0.07400
1976-07-01,0.07600
1976-10-01,0.07300
1977-01-01,0.08200
1977-04-01,0.06900
1977-07-01,0.06800
1977-10-01,0.06300
1978-01-01,0.06900
1978-04-01,0.05800
1978-07-01,0.06000
1978-10-01,0.05600
1979-01-01,0.06300
1979-04-01,0.05600
1979-07-01,0.05800
1979-10-01,0.05600
1980-01-01,0.06800
1980-04-01,0.07200
1980-07-01,0.07600
1980-10-01,0.07000
1981-01-01,0.08000
1981-04-01,0.07300
1981-07-01,0.07300
1981-10-01,0.07900
1982-01-01,0.09500
1982-04-01,0.09400
1982-07-01,0.09700
1982-10-01,0.10300
1983-01-01,0.11200
1983-04-01,0.10000
1983-07-01,0.09100
1983-10-01,0.08200
1984-01-01,0.08400
1984-04-01,0.07400
1984-07-01,0.07300
1984-10-01,0.07000
1985-01-01,0.07800
1985-04-01,0.07200
1985-07-01,0.07100
1985-10-01,0.06700
1986-01-01,0.07500
1986-04-01,0.07100
1986-07-01,0.06800
1986-10-01,0.06500
1987-01-01,0.07100
1987-04-01,0.06200
1987-07-01,0.05900
1987-10-01,0.05600
1988-01-01,0.06100
1988-04-01,0.05400
1988-07-01,0.05400
1988-10-01,0.05100
1989-01-01,0.05600
1989-04-01,0.05200
1989-07-01,0.05200
1989-10-01,0.05100
1990-01-01,0.05800
1990-04-01,0.05300
1990-07-01,0.05600
1990-10-01,0.05800
1991-01-01,0.07200
1991-04-01,0.06700
1991-07-01,0.06600
1991-10-01,0.06700
1992-01-01,0.08000
1992-04-01,0.07500
1992-07-01,0.07500
1992-10-01,0.07000
1993-01-01,0.07700
1993-04-01,0.07000
1993-07-01,0.06700
1993-10-01,0.06200
1994-01-01,0.07100
1994-04-01,0.06100
1994-07-01,0.05900
1994-10-01,0.05300
1995-01-01,0.05900
1995-04-01,0.05600
1995-07-01,0.05600
1995-10-01,0.05200
1996-01-01,0.06000
1996-04-01,0.05400
1996-07-01,0.05200
1996-10-01,0.05000
1997-01-01,0.05700
1997-04-01,0.04900
1997-07-01,0.04800
1997-10-01,0.04400
1998-01-01,0.05100
1998-04-01,0.04300
1998-07-01,0.04500
1998-10-01,0.04100
1999-01-01,0.04600
1999-04-01,0.04200
1999-07-01,0.04300
1999-10-01,0.03800
2000-01-01,0.04400
2000-04-01,0.03900
2000-07-01,0.04000
2000-10-01,0.03700
2001-01-01,0.04600
2001-04-01,0.04300
2001-07-01,0.04800
2001-10-01,0.05200
2002-01-01,0.06200
2002-04-01,0.05700
2002-07-01,0.05700
2002-10-01,0.05500
2003-01-01,0.06400
2003-04-01,0.06000
2003-07-01,0.06000
2003-10-01,0.05500
2004-01-01,0.06100
2004-04-01,0.05500
2004-07-01,0.05400
2004-10-01,0.05100
2005-01-01,0.05600
2005-04-01,0.05000
2005-07-01,0.05000
2005-10-01,0.04700
2006-01-01,0.05000
2006-04-01,0.04600
2006-07-01,0.04700
2006-10-01,0.04200
2007-01-01,0.04800
2007-04-01,0.04400
2007-07-01,0.04700
2007-10-01,0.04600
2008-01-01,0.05300
2008-04-01,0.05200
2008-07-01,0.06000
2008-10-01,0.06600
2009-01-01,0.08800
2009-04-01,0.09100
2009-07-01,0.09600
2009-10-01,0.09500
2010-01-01,0.10400
2010-04-01,0.09500
2010-07-01,0.09500
2010-10-01,0.09100
2011-01-01,0.09500
2011-04-01,0.08900
2011-07-01,0.09100
2011-10-01,0.08300
2012-01-01,0.08600
2012-04-01,0.08000
2012-07-01,0.08100
